name,connection_type,connection,is_ambiguous
Wesley Chen,Person,Co-author,False
Andrew Edgley,Person,Co-author,False
Raunak Hota,Person,Co-author,False
Joshua Liu,Person,Co-author,False
Ezra Schwartz,Person,Co-author,False
Aminah Yizar,Person,Co-author,False
Neehar Peri,Person,Co-author,False
James Purtilo,Person,Co-author,False
labelCloud,Organization,Referenced,False
SAnE,Organization,Referenced,False
LATTE,Organization,Referenced,False
3D BAT,Organization,Referenced,False
nuScenes,Organization,Referenced,False
Waymo,Organization,Referenced,False
Argoverse 2.0,Organization,Referenced,False
GitHub,Organization,Referenced,False
Open3D,Organization,Used as rendering backend,False
nuScenes Dataset,Organization,Referenced,False
Waymo Dataset,Organization,Referenced,False
Argoverse 2.0 Dataset,Organization,Referenced,False
ReBound Generic Data Format,Organization,Referenced,False
GUI Visualization Tool,Organization,Referenced,False
nuScenes Conversion Script,Organization,Referenced,False
Waymo Conversion Script,Organization,Referenced,False
Argoverse 2.0 Conversion Script,Organization,Referenced,False
nuScenes Export Script,Organization,Referenced,False
Waymo Export Script,Organization,Referenced,False
Argoverse 2.0 Export Script,Organization,Referenced,False
National Research Lab,Organization,Referenced,False
SEAM Lab,Organization,Supported,False
ArgoAI Center for Autonomous Vehicle Research,Organization,Supported,False
James Purtilo,Person,Supported,False
Y. Joshi,Person,Co-author,True
J. Zhang,Person,Co-author,True
Z. Shlens,Person,Co-author,True
Z. Chen,Person,Co-author,True
D. Anguelov,Person,Co-author,True
T. Yin,Person,Co-author,True
X. Zhou,Person,Co-author,True
P. Krähenbühl,Person,Co-author,True
N. Peri,Person,Co-author,True
A. Dave,Person,Co-author,True
D. Ramanan,Person,Co-author,True
S. Kong,Person,Co-author,True
A. H. Lang,Person,Co-author,True
S. Vora,Person,Co-author,True
H. Caesar,Person,Co-author,True
L. Zhou,Person,Co-author,True
J. Yang,Person,Co-author,True
O. Beijbom,Person,Co-author,True
B. Zhu,Person,Co-author,True
Z. Jiang,Person,Co-author,True
Z. Li,Person,Co-author,True
G. Yu,Person,Co-author,True
J. Luiten,Person,Co-author,True
M. Li,Person,Co-author,True
A. Osep,Person,Co-author,True
L. Leal-Taixe,Person,Co-author,True
C. Sager,Person,Co-author,True
P. Zschech,Person,Co-author,True
N. Kühl,Person,Co-author,True
H. A. Arief,Person,Co-author,True
M. Arief,Person,Co-author,True
G. Zhang,Person,Co-author,True
Z. Liu,Person,Co-author,True
M. Bhat,Person,Co-author,True
U. G. Indahl,Person,Co-author,True
H. Tveite,Person,Co-author,True
D. Zhao,Person,Co-author,True
B. Wang,Person,Co-author,True
V. Wu,Person,Co-author,True
B. Wu,Person,Co-author,True
K. Keutzer,Person,Co-author,True
W. Zimmer,Person,Co-author,True
A. Rangesh,Person,Co-author,True
M. M. Trivedi,Person,Co-author,True
S. Gupta,Person,Co-author,True
J. Kanjani,Person,Co-author,True
F. Ferroni,Person,Co-author,True
J. Hays,Person,Co-author,True
Y. Li,Person,Co-author,True
J. Ibañez-Guzmán,Person,Co-author,True
V. Bankiti,Person,Co-author,True
V. E. Liong,Person,Co-author,True
Q. Xu,Person,Co-author,True
A. Krishnan,Person,Co-author,True
Y. Pan,Person,Co-author,True
G. Baldan,Person,Co-author,True
P. Sun,Person,Co-author,True
H. Kretzschmar,Person,Co-author,True
X. Dotiwalla,Person,Co-author,True
A. Chouard,Person,Co-author,True
V. Patnaik,Person,Co-author,True
P. Tsui,Person,Co-author,True
J. Guo,Person,Co-author,True
Y. Zhou,Person,Co-author,True
Y. Chai,Person,Co-author,True
B. Caine,Person,Co-author,True
V. Vasudevan,Person,Co-author,True
W. Han,Person,Co-author,True
J. Ngiam,Person,Co-author,True
H. Zhao,Person,Co-author,True
A. Timofeev,Person,Co-author,True
S. Ettinger,Person,Co-author,True
M. Krivokon,Person,Co-author,True
A. Gao,Person,Co-author,True
A. Joshi,Person,Co-author,True
Y. Zhang,Person,Co-author,True
J. Shlens,Person,Co-author,True
B. Wilson,Person,Co-author,True
W. Qi,Person,Co-author,True
T. Agarwal,Person,Co-author,True
J. Lambert,Person,Co-author,True
J. Singh,Person,Co-author,True
S. Khandelwal,Person,Co-author,True
B. Pan,Person,Co-author,True
R. Kumar,Person,Co-author,True
A. Hartnett,Person,Co-author,True
J. K. Pontes,Person,Co-author,True
P. Carr,Person,Co-author,True
E. Haussmann,Person,Co-author,True
M. Fenzi,Person,Co-author,True
K. Chitta,Person,Co-author,True
J. Ivanecky,Person,Co-author,True
H. Xu,Person,Co-author,True
D. Roy,Person,Co-author,True
A. Mittel,Person,Co-author,True
N. Koumchatzky,Person,Co-author,True
C. Farabet,Person,Co-author,True
J. M. Alvarez,Person,Co-author,True
T. Yuan,Person,Co-author,True
F. Wan,Person,Co-author,True
M. Fu,Person,Co-author,True
J. Liu,Person,Co-author,True
S. Xu,Person,Co-author,True
X. Ji,Person,Co-author,True
Q. Ye,Person,Co-author,True
D. Feng,Person,Co-author,True
X. Wei,Person,Co-author,True
L. Rosenbaum,Person,Co-author,True
A. Maki,Person,Co-author,True
K. Dietmayer,Person,Co-author,True
S. Roy,Person,Co-author,True
A. Unmesh,Person,Co-author,True
V. P. Namboodiri,Person,Co-author,True
A. Hekimoglu,Person,Co-author,True
M. Schmidt,Person,Co-author,True
A. Marcos-Ramiro,Person,Co-author,True
G. Rigoll,Person,Co-author,True
S. Schmidt,Person,Co-author,True
Q. Rao,Person,Co-author,True
J. Tatsch,Person,Co-author,True
A. C. Knoll,Person,Co-author,True
M. Meyer,Person,Co-author,True
G. Kuschk,Person,Co-author,True
Y. Luo,Person,Co-author,True
Z. Wang,Person,Co-author,True
X. Yu,Person,Co-author,True
Z. Huang,Person,Co-author,True
M. Baktashmotlagh,Person,Co-author,True
Z. Liang,Person,Co-author,True
X. Xu,Person,Co-author,True
S. Deng,Person,Co-author,True
L. Cai,Person,Co-author,True
T. Jiang,Person,Co-author,True
K. Jia,Person,Co-author,True
